date,net_value
2021-01-04,10000000.0
2021-01-05,10001252.0
2021-01-06,10001910.03
2021-01-07,10000446.03
2021-01-08,9997613.03
2021-01-11,9996728.03
2021-01-12,9995852.03
2021-01-13,9995278.03
2021-01-14,9996338.03
2021-01-15,9995711.03
2021-01-18,9992939.5438
2021-01-19,9991883.5438
2021-01-20,9991861.5438
2021-01-21,9992935.5438
2021-01-22,9991867.5438
2021-01-25,9992772.5438
2021-01-26,9990903.5438
2021-01-27,9990046.5438
2021-01-28,9988527.5438
2021-01-29,9993597.5438
2021-02-01,10000032.5438
2021-02-02,9992222.5438
2021-02-03,9993873.5438
2021-02-04,9993599.5438
2021-02-05,9991318.5438
2021-02-08,9989499.5438
2021-02-09,9981794.5438
2021-02-10,9981444.5438
2021-02-18,9982762.5438
2021-02-19,9982527.5438
2021-02-22,9982703.5438
2021-02-23,9982037.783080002
2021-02-24,9981939.202380002
2021-02-25,9982025.470780002
2021-02-26,9980707.470780002
2021-03-01,9980391.470780002
2021-03-02,9979790.470780002
2021-03-03,9977786.470780002
2021-03-04,9977050.470780002
2021-03-05,9984230.470780002
2021-03-08,9974330.470780002
2021-03-09,9970663.470780002
2021-03-10,9969218.662300002
2021-03-11,9968662.662300002
2021-03-12,9972124.662300002
2021-03-15,9966800.662300002
2021-03-16,9966814.662300002
2021-03-17,9969377.662300002
2021-03-18,9967939.662300002
2021-03-19,9968940.662300002
2021-03-22,9967700.662300002
2021-03-23,9963689.662300002
2021-03-24,9962303.662300002
2021-03-25,9962637.662300002
2021-03-26,9964707.662300002
2021-03-29,9964452.662300002
2021-03-30,9965805.662300002
2021-03-31,9963870.662300002
2021-04-01,9963837.662300002
2021-04-02,9964797.662300002
2021-04-06,9964739.662300002
2021-04-07,9965403.662300002
2021-04-08,9964623.662300002
2021-04-09,9962790.662300002
2021-04-12,9962910.662300002
2021-04-13,9961415.662300002
2021-04-14,9961290.662300002
2021-04-15,9961103.662300002
2021-04-16,9961501.662300002
2021-04-19,9961994.662300002
2021-04-20,9959080.662300002
2021-04-21,9960072.662300002
2021-04-22,9959478.662300002
2021-04-23,9958750.662300002
2021-04-26,9957525.662300002
2021-04-27,9956585.662300002
2021-04-28,9957788.662300002
2021-04-29,9959096.662300002
2021-04-30,9960327.662300002
2021-05-06,9960352.662300002
2021-05-07,9960178.750510002
2021-05-10,9958028.750510002
2021-05-11,9957764.750510002
2021-05-12,9957971.412010001
2021-05-13,9956083.412010001
2021-05-14,9955003.412010001
2021-05-17,9954640.412010001
2021-05-18,9953941.412010001
2021-05-19,9955006.412010001
2021-05-20,9955316.412010001
2021-05-21,9954808.412010001
2021-05-24,9955432.412010001
2021-05-25,9956264.412010001
2021-05-26,9955581.412010001
2021-05-27,9955841.412010001
2021-05-28,9956967.412010001
2021-05-31,9957780.412010001
2021-06-01,9958326.412010001
2021-06-02,9959048.412010001
2021-06-03,9958804.412010001
2021-06-04,9956842.412010001
2021-06-07,9956052.412010001
2021-06-08,9955307.412010001
2021-06-09,9957433.412010001
2021-06-10,9956651.412010001
2021-06-11,9954468.412010001
2021-06-15,9953910.412010001
2021-06-16,9953910.412010001
2021-06-17,9954268.412010001
2021-06-18,9954673.412010001
2021-06-21,9954366.412010001
2021-06-22,9954209.412010001
2021-06-23,9952711.412010001
2021-06-24,9951997.412010001
2021-06-25,9950640.412010001
2021-06-28,9951113.412010001
2021-06-29,9953043.412010001
2021-06-30,9954813.412010001
2021-07-01,9951427.412010001
2021-07-02,9950568.412010001
2021-07-05,9949729.412010001
2021-07-06,9949529.412010001
2021-07-07,9950271.412010001
2021-07-08,9947809.412010001
2021-07-09,9948277.412010001
2021-07-12,9949140.412010001
2021-07-13,9953884.412010001
2021-07-14,9954280.412010001
2021-07-15,9953490.412010001
2021-07-16,9955631.143330002
2021-07-19,9956488.440050002
2021-07-20,9955661.440050002
2021-07-21,9956598.440050002
2021-07-22,9956327.440050002
2021-07-23,9956090.440050002
2021-07-26,9955128.440050002
2021-07-27,9954117.440050002
2021-07-28,9954274.440050002
2021-07-29,9954198.440050002
2021-07-30,9953701.440050002
2021-08-02,9953973.440050002
2021-08-03,9953689.440050002
2021-08-04,9953423.440050002
2021-08-05,9953580.440050002
2021-08-06,9952693.440050002
2021-08-09,9952720.440050002
