date,close,open,high,low,volume,returns
2022/12/30,"3,238.19","3,233.21","3,245.61","3,230.75",21.73B,0.51%
2022/12/29,"3,221.87","3,224.98","3,234.72","3,212.11",21.54B,-0.44%
2022/12/28,"3,236.18","3,237.41","3,247.98","3,227.80",22.44B,-0.26%
2022/12/27,"3,244.71","3,226.05","3,247.35","3,222.43",22.20B,0.98%
2022/12/26,"3,213.28","3,195.08","3,219.85","3,194.19",20.63B,0.65%
2022/12/23,"3,192.64","3,185.15","3,209.35","3,177.62",19.16B,-0.28%
2022/12/22,"3,201.51","3,234.38","3,245.34","3,191.19",22.35B,-0.45%
2022/12/21,"3,216.13","3,226.50","3,234.36","3,207.89",18.89B,-0.17%
2022/12/20,"3,221.71","3,248.19","3,250.09","3,208.86",21.86B,-1.08%
2022/12/19,"3,256.76","3,317.80","3,323.00","3,245.22",27.82B,-1.92%
2022/12/16,"3,320.47","3,308.16","3,328.34","3,303.41",25.94B,-0.03%
2022/12/15,"3,321.31","3,330.26","3,332.25","3,310.57",24.28B,-0.25%
2022/12/14,"3,329.56","3,331.69","3,343.51","3,321.21",26.53B,0.01%
2022/12/13,"3,329.36","3,332.61","3,340.78","3,324.26",28.55B,-0.08%
2022/12/12,"3,332.19","3,349.82","3,350.75","3,329.61",33.30B,-0.87%
2022/12/9,"3,361.46","3,351.15","3,366.90","3,336.27",37.30B,0.30%
2022/12/8,"3,351.40","3,349.93","3,361.21","3,340.78",32.05B,-0.07%
2022/12/7,"3,353.73","3,359.28","3,381.47","3,342.20",35.37B,-0.40%
2022/12/6,"3,367.27","3,354.37","3,380.14","3,348.92",37.32B,0.02%
2022/12/5,"3,366.49","3,335.14","3,368.20","3,329.99",44.69B,1.77%
2022/12/2,"3,308.06","3,312.75","3,323.56","3,301.46",30.74B,-0.30%
2022/12/1,"3,317.90","3,341.57","3,352.48","3,316.93",38.66B,0.45%
2022/11/30,"3,303.10","3,292.59","3,310.63","3,288.41",37.21B,0.05%
2022/11/29,"3,301.37","3,245.14","3,303.75","3,245.14",39.10B,2.31%
2022/11/28,"3,226.70","3,202.28","3,228.43","3,180.71",30.55B,-0.75%
2022/11/25,"3,251.00","3,233.98","3,261.22","3,226.10",31.12B,0.40%
2022/11/24,"3,238.00","3,253.53","3,263.12","3,233.35",26.72B,-0.25%
2022/11/23,"3,245.99","3,233.20","3,257.88","3,223.34",32.57B,0.26%
2022/11/22,"3,237.62","3,232.67","3,268.23","3,224.34",32.72B,0.13%
2022/11/21,"3,233.51","3,226.19","3,233.73","3,203.26",25.58B,-0.39%
2022/11/18,"3,246.33","3,266.75","3,277.23","3,245.96",29.95B,-0.58%
2022/11/17,"3,265.39","3,260.67","3,265.39","3,235.76",28.64B,-0.14%
2022/11/16,"3,270.13","3,284.41","3,297.16","3,265.26",30.30B,-0.45%
2022/11/15,"3,284.87","3,229.39","3,286.51","3,222.42",33.11B,1.64%
2022/11/14,"3,231.77","3,250.06","3,271.60","3,223.19",36.13B,-0.12%
2022/11/11,"3,235.80","3,248.76","3,267.75","3,217.97",40.92B,1.69%
2022/11/10,"3,182.12","3,177.44","3,194.56","3,168.19",27.01B,-0.39%
2022/11/9,"3,194.73","3,211.84","3,221.78","3,192.68",23.54B,-0.53%
2022/11/8,"3,211.87","3,225.24","3,226.27","3,194.01",25.63B,-0.43%
2022/11/7,"3,225.78","3,210.11","3,236.70","3,201.30",32.03B,0.23%
2022/11/4,"3,218.44","3,141.06","3,229.77","3,141.06",32.94B,2.44%
2022/11/3,"3,141.92","3,124.48","3,148.15","3,120.84",25.91B,-0.19%
2022/11/2,"3,147.76","3,102.97","3,164.22","3,096.99",32.47B,1.15%
2022/11/1,"3,111.95","3,038.82","3,111.95","3,035.98",31.94B,2.62%
2022/10/31,"3,032.52","3,032.14","3,066.55","3,023.66",30.14B,-0.77%
2022/10/28,"3,056.00","3,109.59","3,117.15","3,048.70",29.21B,-2.25%
2022/10/27,"3,126.26","3,149.40","3,162.25","3,125.02",26.52B,-0.55%
2022/10/26,"3,143.60","3,120.56","3,173.79","3,120.56",26.82B,0.78%
2022/10/25,"3,119.20","3,111.39","3,145.81","3,085.57",25.51B,-0.03%
2022/10/24,"3,120.10","3,180.12","3,211.24","3,107.23",29.76B,-2.02%
2022/10/21,"3,184.52","3,183.62","3,201.83","3,171.98",24.50B,0.13%
2022/10/20,"3,180.48","3,174.48","3,217.44","3,158.11",24.45B,-0.31%
2022/10/19,"3,190.27","3,220.52","3,229.10","3,190.27",23.06B,-1.19%
2022/10/18,"3,228.64","3,243.33","3,248.55","3,221.58",24.54B,-0.13%
2022/10/17,"3,232.84","3,207.27","3,235.20","3,199.04",26.24B,0.42%
2022/10/14,"3,219.29","3,180.53","3,232.15","3,180.53",27.70B,1.85%
2022/10/13,"3,160.94","3,152.46","3,181.79","3,148.46",24.94B,-0.30%
2022/10/12,"3,170.52","3,119.52","3,170.52","3,074.78",24.77B,1.53%
2022/10/11,"3,122.75","3,120.98","3,130.22","3,095.16",20.84B,0.19%
2022/10/10,"3,116.85","3,172.22","3,174.83","3,110.67",24.31B,-1.66%
2022/9/30,"3,169.60","3,188.30","3,201.32","3,167.06",20.38B,-0.55%
2022/9/29,"3,187.27","3,214.88","3,224.54","3,171.43",22.98B,-0.13%
2022/9/28,"3,191.38","3,237.50","3,237.50","3,191.17",22.98B,-1.58%
2022/9/27,"3,242.51","3,203.37","3,242.70","3,194.86",23.23B,1.39%
2022/9/26,"3,197.92","3,214.71","3,251.56","3,195.08",26.17B,-1.19%
2022/9/23,"3,236.52","3,255.64","3,274.46","3,219.54",24.25B,-0.66%
2022/9/22,"3,257.87","3,247.19","3,275.42","3,240.92",22.09B,-0.26%
2022/9/21,"3,266.51","3,265.27","3,279.77","3,239.35",23.27B,-0.17%
2022/9/20,"3,271.98","3,277.76","3,290.46","3,263.21",21.96B,0.22%
2022/9/19,"3,264.91","3,272.30","3,285.75","3,249.83",24.88B,-0.34%
2022/9/16,"3,276.13","3,342.73","3,344.83","3,276.13",31.60B,-2.30%
2022/9/15,"3,353.31","3,404.76","3,410.24","3,326.54",32.48B,-1.16%
2022/9/14,"3,392.77","3,379.25","3,406.67","3,376.41",25.48B,-0.80%
2022/9/13,"3,420.26","3,428.88","3,435.30","3,415.85",27.58B,0.05%
2022/9/9,"3,418.38","3,396.54","3,422.75","3,391.64",28.35B,0.82%
2022/9/8,"3,390.66","3,401.05","3,409.65","3,388.80",28.13B,-0.33%
2022/9/7,"3,401.82","3,386.92","3,409.66","3,382.40",30.07B,0.09%
2022/9/6,"3,398.82","3,361.63","3,400.06","3,357.23",31.85B,1.36%
2022/9/5,"3,353.23","3,336.53","3,353.23","3,323.99",28.03B,0.42%
2022/9/2,"3,339.17","3,342.52","3,351.53","3,325.87",25.02B,0.05%
2022/9/1,"3,337.62","3,349.72","3,368.63","3,334.08",27.44B,-0.54%
2022/8/31,"3,355.60","3,370.65","3,386.91","3,336.95",34.39B,-0.78%
2022/8/30,"3,381.87","3,395.42","3,399.16","3,366.58",29.39B,-0.42%
2022/8/29,"3,396.00","3,356.47","3,396.00","3,352.17",29.66B,0.14%
2022/8/26,"3,391.19","3,406.33","3,422.66","3,387.06",30.95B,-0.31%
2022/8/25,"3,401.72","3,377.83","3,403.91","3,352.32",33.57B,0.97%
2022/8/24,"3,369.17","3,436.11","3,438.95","3,366.23",36.56B,-1.86%
2022/8/23,"3,433.02","3,431.09","3,441.80","3,418.75",31.60B,-0.05%
2022/8/22,"3,434.61","3,405.17","3,435.03","3,402.48",31.41B,0.61%
2022/8/19,"3,413.93","3,432.25","3,443.66","3,413.89",33.31B,-0.59%
2022/8/18,"3,434.24","3,443.55","3,446.49","3,427.00",30.14B,-0.46%
2022/8/17,"3,450.03","3,438.98","3,453.66","3,419.32",32.57B,0.45%
2022/8/16,"3,434.57","3,435.45","3,452.53","3,427.95",30.32B,0.06%
2022/8/15,"3,432.65","3,424.44","3,443.81","3,417.58",28.67B,-0.02%
2022/8/12,"3,433.36","3,432.17","3,445.23","3,429.09",29.95B,-0.15%
2022/8/11,"3,438.40","3,398.26","3,438.40","3,392.52",30.01B,1.60%
2022/8/10,"3,384.14","3,397.16","3,408.47","3,371.32",25.73B,-0.54%
2022/8/9,"3,402.43","3,390.08","3,403.84","3,381.48",25.93B,0.33%
2022/8/8,"3,391.34","3,372.68","3,392.44","3,367.66",25.40B,0.30%
2022/8/5,"3,381.24","3,347.93","3,383.25","3,336.65",27.44B,1.19%
2022/8/4,"3,341.39","3,331.26","3,343.35","3,306.48",26.06B,0.80%
2022/8/3,"3,314.75","3,341.24","3,371.22","3,310.32",32.45B,-0.71%
2022/8/2,"3,338.49","3,385.65","3,385.65","3,305.86",39.36B,-2.26%
2022/8/1,"3,415.75","3,401.99","3,420.31","3,379.89",29.19B,0.20%
2022/7/29,"3,408.96","3,439.95","3,452.52","3,401.73",30.70B,-0.89%
2022/7/28,"3,439.74","3,445.01","3,463.91","3,434.01",28.77B,0.21%
2022/7/27,"3,432.70","3,428.61","3,439.90","3,422.28",24.89B,-0.05%
2022/7/26,"3,434.54","3,410.11","3,439.72","3,401.55",25.93B,0.83%
2022/7/25,"3,406.14","3,426.35","3,429.94","3,398.46",27.10B,-0.60%
2022/7/22,"3,426.60","3,433.05","3,451.36","3,402.23",30.04B,-0.06%
2022/7/21,"3,428.65","3,455.66","3,458.71","3,428.65",33.21B,-0.99%
2022/7/20,"3,463.04","3,449.42","3,466.87","3,445.39",30.13B,0.77%
2022/7/19,"3,436.68","3,435.88","3,441.39","3,412.11",31.54B,0.04%
2022/7/18,"3,435.22","3,390.09","3,435.64","3,380.73",34.80B,1.55%
2022/7/15,"3,382.68","3,417.66","3,446.50","3,382.68",37.96B,-1.64%
2022/7/14,"3,439.04","3,434.73","3,457.39","3,417.87",35.56B,-0.08%
2022/7/13,"3,441.89","3,437.21","3,455.33","3,423.41",33.15B,0.08%
2022/7/12,"3,439.07","3,466.01","3,478.62","3,434.40",33.44B,-0.97%
2022/7/11,"3,472.70","3,501.65","3,501.65","3,455.33",34.24B,-1.27%
2022/7/8,"3,517.37","3,542.95","3,549.18","3,515.32",32.26B,-0.25%
